id,name,country,type
1,Florian Mueller,Deutschland,1
33,Fabian Bredlow,Deutschland,1
42,Florian Schock,Deutschland,1
5,Konstantinos Mavropanos,Griechenland,1
2,Waldemar Anton,Deutschland,1
37,Hiroki Ito,Japan,1
24,Borna Sosa,Kroatien,1
15,Pascal Stenzel,Deutschland,1
23,Orel Mangala,Belgien ,1
3,Wataru Endo,Japan,1
16,Atakan Karazor,Deutschland,1
32,Naouirou Ahamada,Frankreich,1
6,Clinton Mola,England,1
8,Enzo Millot,Frankreich,1
28,Nikolas Nartey,Daenemark,1
14,Silas Katompa Mvumpa,Kongo,1
30,Roberto Massimo,Deutschland,1
11,Erik Thommy,Deutschland,1
20,Philipp Foerster,Deutschland,1
31,Mateo Klimowicz,Deutschland,1
25,Lilian Egloff,Deutschland,1
34,Oemer Beyaz,Tuerkei,1
10,Daniel Divadi,Deutschland,1
7,Tanguy Coulibaly,Frankreich,1
22,Chris Fuehrich,Deutschland,1
9,Sasa Kalajdzic,Oesterreich,1
18,Tiago Tomás,Portugal,1
17,Omar Marmoush,Aegypten,1
19,Wahid Faghir,Daenemark,1
50,Alexis Tibidi,Frankreich,1
44,Mohamed Sankoh,Niederlande,1
Mainz,Mainz 05,Deutschland,2
Nuernberg,1. FC Nuernberg,Deutschland,2
Stuttgart_II,Stuttgart II,Deutschland,2
Arsenal,FC Arsenal,England,2
Hannover ,Hannover 96,Deutschland,2
Iwata,Júbilo Iwata,Japan,2
Zagreb,Dinamo Zagreb,Kroatien,2
Freiburg,SC Freiburg,Deutschland,2
Hamburg,Hamburger SV,Deutschland,2
Truiden,VV St. Truiden,Belgien ,2
Kiel,Holstein Kiel,Deutschland,2
Juventus,Juventus U23,Italien,2
Chelsea,Chelsea U23,England,2
Monaco,AS Monaco,Monaco,2
Sandhausen,SV Sandhausen,Deutschland,2
Paris,Paris FC,Frankreich,2
Bielefeld,Arm. Bielefeld,Deutschland,2
Duesseldorf,F. Duesseldorf,Deutschland,2
Instituto,Instituto AC,Argentinien,2
Stuttgart_U19,Stuttgart U19,Deutschland,2
Fenerbahce,Fenerbahce,Tuerkei,2
Wolfsburg,VfL Wolfsburg,Deutschland,2
Paris_SG_U19,Paris SG U19,Frankreich,2
Paderborn,SC Paderborn,Deutschland,2
Admira_Wacker,Admira Wacker,Oesterreich,2
Sporting,Sporting,Portugal,2
Vejle_BK,Vejle BK,Daenemark,2
Deutschland,,,
Griechenland,,,
Usbekistan,,,
Japan,,,
Kroatien,,,
Belgien,,,
Kongo,,,
Frankreich,,,
Komoren,,,
England,,,
Martinique,,,
Daenemark,,,
Ghana,,,
Italien,,,
Argentinien,,,
Benin,,,
Elfenbeinküste,,,
Serbien,,,
Portugal,,,
Aegypten,,,
Kanada,,,
Afghanistan,,,
Kamerun,,,
Niederlande,,,
Sierra Leone,,,
Türkei,,,
Oesterreich,,,
